30,100.36492
35,120.01596
40,139.66699
45,159.31802
50,178.96906
55,198.62009
60,218.27112
65,237.92215
70,257.5732
75,277.22424
80,296.87527
85,316.5263
90,336.17734
95,355.82837
100,375.4794
105,395.13043
110,414.78146
115,434.4325
120,454.08353
125,473.73456
130,493.3856
135,513.0366
140,532.6877
145,552.3387
150,571.98975
155,591.64075
160,611.2918
165,630.9428
170,650.5939
175,670.2449
180,689.89594
185,709.54694
190,729.198
195,748.849
200,768.50006
205,788.15106
210,807.8021
215,827.4531
220,847.1042
225,866.7552
230,886.40625
235,906.05725
240,925.7083
245,945.3593
250,965.0104
255,984.6614
260,1004.31244
265,1023.9635
270,1043.6145
275,1063.2655
